parameter,cumulative_return,annual_return,max_drawdown,drawdown_begin,drawdown_end,return/drawdown,sharpe_ratio,base_return
"[20, 180]",42.73,111.91%,-68.52%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.63,1.1948754090363467,74.58970481782359
"[90, 160]",48.63,117.46%,-72.06%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.63,1.2115941071750558,74.58970481782359
"[140, 180]",38.03,107.02%,-66.13%,2017-12-16 00:00:00,2018-04-06 00:00:00,1.62,1.1755883692423328,74.58970481782359
"[50, 190]",45.38,114.48%,-71.94%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.59,1.2022575374599835,74.58970481782359
"[20, 150]",40.42,109.57%,-68.70%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.59,1.1887334392161166,74.58970481782359
"[10, 160]",41.34,110.51%,-69.66%,2017-12-16 00:00:00,2020-05-12 00:00:00,1.59,1.1962989303009073,74.58970481782359
"[120, 140]",46.41,115.44%,-72.67%,2017-12-16 00:00:00,2018-11-17 00:00:00,1.59,1.2202941168973522,74.58970481782359
"[130, 150]",45.53,114.62%,-72.74%,2017-12-16 00:00:00,2018-11-25 00:00:00,1.58,1.210236112945135,74.58970481782359
"[150, 180]",33.83,102.23%,-66.13%,2017-12-16 00:00:00,2018-04-06 00:00:00,1.55,1.1454726017941275,74.58970481782359
"[140, 190]",33.8,102.2%,-66.13%,2017-12-16 00:00:00,2018-04-06 00:00:00,1.55,1.1506990908881622,74.58970481782359
"[130, 190]",34.03,102.47%,-66.13%,2017-12-16 00:00:00,2018-04-06 00:00:00,1.55,1.1532443532812027,74.58970481782359
"[10, 170]",40.01,109.14%,-71.49%,2017-12-16 00:00:00,2020-05-12 00:00:00,1.53,1.1892193224266527,74.58970481782359
"[50, 180]",40.35,109.49%,-71.34%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.53,1.174977540343311,74.58970481782359
"[130, 160]",43.4,112.57%,-74.06%,2017-12-16 00:00:00,2019-04-26 00:00:00,1.52,1.197897489879351,74.58970481782359
"[40, 50]",37.31,106.23%,-69.70%,2017-12-16 00:00:00,2018-08-11 00:00:00,1.52,1.1964537587416002,74.58970481782359
"[60, 70]",32.85,101.06%,-66.33%,2017-12-16 00:00:00,2019-02-15 00:00:00,1.52,1.1374794009724365,74.58970481782359
"[40, 190]",38.86,107.92%,-71.10%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.52,1.167769379537943,74.58970481782359
"[130, 140]",43.44,112.61%,-75.09%,2017-12-16 00:00:00,2018-11-25 00:00:00,1.5,1.1995994822294769,74.58970481782359
"[150, 190]",30.18,97.67%,-66.13%,2017-12-16 00:00:00,2018-04-06 00:00:00,1.48,1.1232217665814415,74.58970481782359
"[150, 170]",28.45,95.35%,-66.24%,2019-06-27 00:00:00,2020-03-13 00:00:00,1.44,1.0834093503870432,74.58970481782359
"[90, 100]",36.26,105.07%,-74.64%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.41,1.1479977783287882,74.58970481782359
"[140, 170]",27.08,93.43%,-66.13%,2017-12-16 00:00:00,2018-04-06 00:00:00,1.41,1.0740062195141313,74.58970481782359
"[10, 180]",35.13,103.77%,-73.76%,2017-12-16 00:00:00,2020-05-12 00:00:00,1.41,1.1558847399668584,74.58970481782359
"[50, 60]",28.98,96.07%,-68.44%,2017-12-16 00:00:00,2018-10-13 00:00:00,1.4,1.1152558742600616,74.58970481782359
"[140, 150]",28.3,95.14%,-69.19%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.38,1.08029221216933,74.58970481782359
"[160, 180]",25.55,91.19%,-66.35%,2017-12-16 00:00:00,2020-09-09 00:00:00,1.37,1.0812369393094932,74.58970481782359
"[160, 190]",25.93,91.76%,-67.53%,2017-12-16 00:00:00,2020-09-09 00:00:00,1.36,1.0881151932593027,74.58970481782359
"[40, 60]",26.09,92.0%,-68.35%,2017-12-16 00:00:00,2018-08-11 00:00:00,1.35,1.1026248260122287,74.58970481782359
"[120, 130]",37.42,106.36%,-80.45%,2017-12-16 00:00:00,2019-04-12 00:00:00,1.32,1.1705858049901752,74.58970481782359
"[160, 170]",21.94,85.45%,-68.00%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.26,1.0248341205131173,74.58970481782359
"[10, 150]",31.19,98.98%,-79.05%,2017-12-16 00:00:00,2020-05-12 00:00:00,1.25,1.1317445160447026,74.58970481782359
"[50, 70]",23.29,87.69%,-71.28%,2017-12-16 00:00:00,2019-02-08 00:00:00,1.23,1.0633095476308514,74.58970481782359
"[180, 190]",21.69,85.04%,-71.46%,2017-12-16 00:00:00,2020-09-09 00:00:00,1.19,1.0431684347093433,74.58970481782359
"[170, 180]",19.98,82.02%,-69.86%,2017-12-16 00:00:00,2020-09-09 00:00:00,1.17,1.0200530513541037,74.58970481782359
"[170, 190]",20.73,83.36%,-71.98%,2017-12-16 00:00:00,2020-09-09 00:00:00,1.16,1.0320926708742852,74.58970481782359
"[140, 160]",21.6,84.88%,-74.55%,2017-12-16 00:00:00,2020-04-21 00:00:00,1.14,1.016480350330798,74.58970481782359
"[150, 160]",17.71,77.68%,-79.77%,2017-12-16 00:00:00,2020-03-13 00:00:00,0.97,0.9678379711945184,74.58970481782359
