parameter,cumulative_return,annual_return,max_drawdown,drawdown_begin,drawdown_end,return/drawdown,sharpe_ratio,base_return
"[90, 170]",31.23,99.02%,-74.45%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.33,1.095483812314797,74.58970481782359
"[70, 150]",30.22,97.72%,-73.83%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.32,1.0984295897296568,74.58970481782359
"[50, 190]",29.74,97.09%,-73.96%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.31,1.0931465289459057,74.58970481782359
"[50, 170]",33.97,102.4%,-77.89%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.31,1.1301082221541348,74.58970481782359
"[20, 160]",32.79,100.98%,-76.91%,2017-12-16 00:00:00,2020-05-12 00:00:00,1.31,1.133862724397491,74.58970481782359
"[80, 130]",28.9,95.96%,-73.83%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.3,1.088108874253832,74.58970481782359
"[150, 190]",36.49,105.32%,-82.18%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.28,1.1238686810517833,74.58970481782359
"[70, 160]",29.28,96.48%,-75.85%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.27,1.0896848456994395,74.58970481782359
"[100, 160]",29.09,96.23%,-75.94%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.27,1.0789763495570794,74.58970481782359
"[20, 170]",31.42,99.28%,-77.90%,2017-12-16 00:00:00,2020-05-12 00:00:00,1.27,1.1231849364403081,74.58970481782359
"[160, 180]",35.97,104.73%,-82.43%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.27,1.1205755959707282,74.58970481782359
"[110, 150]",28.53,95.46%,-75.89%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.26,1.074512426166465,74.58970481782359
"[110, 140]",28.69,95.68%,-76.35%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.25,1.077861735161525,74.58970481782359
"[120, 130]",28.72,95.72%,-76.32%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.25,1.0771511872891664,74.58970481782359
"[180, 190]",33.87,102.28%,-81.74%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.25,1.1043165471592262,74.58970481782359
"[40, 190]",29.21,96.39%,-77.02%,2017-12-16 00:00:00,2020-05-12 00:00:00,1.25,1.0952782455034678,74.58970481782359
"[80, 180]",28.48,95.4%,-76.37%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.25,1.0764708918843753,74.58970481782359
"[60, 150]",29.6,96.9%,-77.46%,2017-12-16 00:00:00,2020-05-25 00:00:00,1.25,1.0987705882044119,74.58970481782359
"[80, 120]",29.06,96.18%,-77.52%,2017-12-16 00:00:00,2020-03-13 00:00:00,1.24,1.0949891779580225,74.58970481782359
